Date,male NSW,male VIC,male QLD,male SA,male WA,male TAS,male NT,male ACT,female NSW,female VIC,female QLD,female SA,female WA,female TAS,female NT,female ACT
2006,3346896,2509510,2006363,767859,1038130,241708,108861,166280,3410731,2564748,2014404,787465,1020353,248370,100818,169820
2007,3394678,2557694,2057622,776575,1065559,244176,111497,169646,3453598,2608710,2065002,796138,1048330,249897,102983,173030
2008,3453669,2612300,2114359,786150,1100030,247428,115032,173019,3505718,2660002,2119272,805020,1081910,252061,105412,175853
2009,3509365,2669210,2167133,797108,1132248,250563,118413,176680,3557349,2715222,2170858,814445,1114170,254366,107834,178896
2010,3552786,2709534,2203070,805986,1157718,253152,120548,180155,3601030,2760640,2209655,822531,1140760,256030,109236,182294
2011,3591056,2748862,2239330,812866,1189454,254737,121542,183543,3640573,2805385,2248870,828910,1172154,256872,110160,185522
2012,3634007,2805044,2283240,821200,1230079,254698,123880,187739,3687890,2863962,2296857,837026,1205939,257264,112933,189717
2013,3682170,2865474,2321448,828653,1260796,254677,126921,191182,3741875,2927059,2341506,844820,1235404,258089,115608,193281
2014,3734151,2927865,2352379,836198,1272908,254767,126724,194066,3798953,2991890,2379346,853010,1252997,259262,116789,196394
2015,3787065,2992291,2377939,842624,1280544,255075,126443,197500,3855811,3058104,2413856,860586,1265574,260569,118014,200000
2016,3842884,3063912,2407711,847996,1286795,255925,126167,200938,3913164,3130163,2450358,866211,1275559,262062,119191,203385
